date,quarter,day,department,team,no_of_workers,smv,wip,over_time,incentive,no_of_style_change,idle_time,idle_men,targeted_productivity,actual_productivity
2/9/2015,Quarter2,Monday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.697708333
2/9/2015,Quarter2,Monday,sweing,6,34,18.79,708,4080,0,0,0,0,0.75,0.612517157
2/9/2015,Quarter2,Monday,sweing,7,58,30.1,842,6960,0,1,0,0,0.35,0.350301724
2/9/2015,Quarter2,Monday,sweing,8,58,30.1,901,6960,0,1,0,0,0.35,0.350301724
2/9/2015,Quarter2,Monday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.272
2/10/2015,Quarter2,Tuesday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,1.004888889
2/10/2015,Quarter2,Tuesday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,0.966759259
2/10/2015,Quarter2,Tuesday,sweing,10,56,22.52,1268,0,88,0,0,0,0.8,0.90063244
2/10/2015,Quarter2,Tuesday,sweing,1,57,22.52,1546,0,88,0,0,0,0.8,0.90047076
2/10/2015,Quarter2,Tuesday,sweing,3,57,22.52,813,0,88,0,0,0,0.8,0.90047076
2/10/2015,Quarter2,Tuesday,sweing,2,57,22.52,1512,0,88,0,0,0,0.8,0.899984058
2/10/2015,Quarter2,Tuesday,finishing,1,12,3.94,,1440,0,0,0,0,0.8,0.853666667
2/10/2015,Quarter2,Tuesday,sweing,9,58,29.12,1263,2160,38,0,0,0,0.8,0.8008
2/10/2015,Quarter2,Tuesday,sweing,12,34,15.26,900,4080,50,0,0,0,0.8,0.800401961
2/10/2015,Quarter2,Tuesday,finishing,4,15,4.15,,1800,0,0,0,0,0.7,0.796755556
2/10/2015,Quarter2,Tuesday,sweing,6,34,18.79,640,2400,0,0,0,0,0.75,0.750797009
2/10/2015,Quarter2,Tuesday,sweing,11,54,10.05,13,3240,34,0,0,0,0.8,0.750648148
2/10/2015,Quarter2,Tuesday,sweing,5,58,30.1,855,7020,45,0,0,0,0.75,0.750356125
2/10/2015,Quarter2,Tuesday,finishing,8,8,4.15,,960,0,0,0,0,0.35,0.703770833
2/10/2015,Quarter2,Tuesday,sweing,4,58,30.1,855,7020,40,1,0,0,0.7,0.700618234
2/10/2015,Quarter2,Tuesday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.6895
2/10/2015,Quarter2,Tuesday,finishing,6,8,2.9,,960,0,0,0,0,0.75,0.628333333
2/10/2015,Quarter2,Tuesday,sweing,7,58,30.1,1025,6960,23,1,0,0,0.5,0.500801724
2/10/2015,Quarter2,Tuesday,sweing,8,58,30.1,1061,6960,30,1,0,0,0.5,0.393548851
2/11/2015,Quarter2,Wednesday,finishing,4,15,4.15,,1800,0,0,0,0,0.7,1.033155556
2/11/2015,Quarter2,Wednesday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,1.02
2/11/2015,Quarter2,Wednesday,sweing,2,57.5,22.52,1557,0,90,0,0,0,0.8,1.000344928
2/11/2015,Quarter2,Wednesday,sweing,1,57,22.52,1498,0,113,0,0,0,0.8,1.000065789
2/11/2015,Quarter2,Wednesday,finishing,8,12,4.15,,1440,0,0,0,0,0.35,0.994375
2/11/2015,Quarter2,Wednesday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,0.912037037
2/11/2015,Quarter2,Wednesday,finishing,5,2,4.15,,240,0,0,0,0,0.7,0.87
2/11/2015,Quarter2,Wednesday,sweing,10,56,22.52,598,0,75,0,0,0,0.8,0.850364583
2/11/2015,Quarter2,Wednesday,sweing,6,34,18.79,656,3480,38,0,0,0,0.8,0.800947475
2/11/2015,Quarter2,Wednesday,sweing,12,34,15.26,854,4080,50,0,0,0,0.8,0.800401961
2/11/2015,Quarter2,Wednesday,sweing,9,58,29.12,609,3240,50,0,0,0,0.8,0.800144144
2/11/2015,Quarter2,Wednesday,sweing,5,59.5,30.1,788,7380,56,0,0,0,0.75,0.750406233
2/11/2015,Quarter2,Wednesday,sweing,8,58,30.1,1069,4560,30,1,0,0,0.6,0.714410494
2/11/2015,Quarter2,Wednesday,sweing,4,59.5,30.1,667,5940,40,1,0,0,0.7,0.700588406
2/11/2015,Quarter2,Wednesday,finishing,1,12,3.94,,1440,0,0,0,0,0.8,0.618361111
2/11/2015,Quarter2,Wednesday,sweing,7,58,30.1,829,3360,23,1,0,0,0.6,0.600070513
2/11/2015,Quarter2,Wednesday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.54175
2/11/2015,Quarter2,Wednesday,sweing,3,57,22.52,11,6840,0,1,0,0,0.8,0.536901754
2/11/2015,Quarter2,Wednesday,sweing,11,52,11.41,434,3240,0,1,0,0,0.35,0.507903226
2/12/2015,Quarter2,Thursday,sweing,1,57,22.52,1397,0,138,0,0,0,0.8,1.100483918
2/12/2015,Quarter2,Thursday,finishing,4,15,4.15,,1800,0,0,0,0,0.7,1.096633333
2/12/2015,Quarter2,Thursday,sweing,2,57.5,22.52,1327,0,113,0,0,0,0.8,1.000344928
2/12/2015,Quarter2,Thursday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.838666667
2/12/2015,Quarter2,Thursday,sweing,12,34,15.26,894,4080,50,0,0,0,0.8,0.800401961
2/12/2015,Quarter2,Thursday,finishing,8,12,4.15,,1440,0,0,0,0,0.35,0.755486111
2/12/2015,Quarter2,Thursday,sweing,5,59,30.1,610,7080,56,0,0,0,0.75,0.750799435
2/12/2015,Quarter2,Thursday,sweing,6,33,18.79,779,3960,0,0,0,0,0.8,0.688017677
2/12/2015,Quarter2,Thursday,finishing,1,12,3.94,,1440,0,0,0,0,0.8,0.664875
2/12/2015,Quarter2,Thursday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.656666667
2/12/2015,Quarter2,Thursday,sweing,4,59,30.1,419,7080,0,1,0,0,0.7,0.637711864
2/12/2015,Quarter2,Thursday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,0.601944444
2/12/2015,Quarter2,Thursday,finishing,5,2,4.15,,240,0,0,0,0,0.7,0.58
2/12/2015,Quarter2,Thursday,sweing,7,59,30.1,909,7080,0,1,0,0,0.65,0.535677966
2/12/2015,Quarter2,Thursday,sweing,11,55,11.41,1039,2280,0,2,0,0,0.5,0.50012336
2/12/2015,Quarter2,Thursday,sweing,9,58,29.12,14,6960,0,0,0,0,0.8,0.497885057
2/12/2015,Quarter2,Thursday,sweing,8,59,30.1,1193,7080,0,1,0,0,0.65,0.463403955
2/12/2015,Quarter2,Thursday,sweing,10,50,22.52,10,6000,0,0,0,0,0.8,0.441392
2/12/2015,Quarter2,Thursday,sweing,3,58,30.1,770,6960,0,1,0,0,0.35,0.350301724
2/14/2015,Quarter2,Saturday,sweing,1,57,22.52,1416,6840,113,0,0,0,0.8,1.000230409
2/14/2015,Quarter2,Saturday,finishing,7,15,4.15,,1800,0,0,0,0,0.7,0.929277778
2/14/2015,Quarter2,Saturday,finishing,4,20,4.15,,2400,0,0,0,0,0.75,0.902916667
2/14/2015,Quarter2,Saturday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.800888889
2/14/2015,Quarter2,Saturday,sweing,12,34,15.26,942,4080,63,0,0,0,0.8,0.800401961
2/14/2015,Quarter2,Saturday,sweing,2,57,22.52,674,3660,63,0,0,0,0.8,0.80037492
2/14/2015,Quarter2,Saturday,finishing,1,12,3.94,,1440,0,0,0,0,0.8,0.796208333
2/14/2015,Quarter2,Saturday,sweing,4,59,30.1,481,7140,0,1,0,0,0.75,0.750392157
2/14/2015,Quarter2,Saturday,sweing,5,59,30.1,664,7140,56,0,0,0,0.75,0.750392157
2/14/2015,Quarter2,Saturday,finishing,8,8,4.15,,960,0,0,0,0,0.7,0.725625
2/14/2015,Quarter2,Saturday,sweing,8,60,30.1,824,5160,0,1,0,0,0.7,0.700206125
2/14/2015,Quarter2,Saturday,sweing,7,60,30.1,957,7200,0,1,0,0,0.7,0.602
2/14/2015,Quarter2,Saturday,sweing,11,55,11.41,1039,2280,23,2,0,0,0.6,0.600447507
2/14/2015,Quarter2,Saturday,sweing,6,34,18.79,822,4080,0,0,0,0,0.8,0.557252451
2/14/2015,Quarter2,Saturday,sweing,3,58,30.1,1261,6960,30,1,0,0,0.5,0.500801724
2/14/2015,Quarter2,Saturday,finishing,6,8,2.9,,960,0,0,0,0,0.8,0.483333333
2/14/2015,Quarter2,Saturday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.238041667
2/15/2015,Quarter3,Sunday,finishing,1,8,3.94,,960,0,0,0,0,0.8,1.1204375
2/15/2015,Quarter3,Sunday,finishing,2,8,3.94,,960,0,0,0,0,0.8,1.108125
2/15/2015,Quarter3,Sunday,sweing,1,57,22.52,1420,6840,113,0,0,0,0.8,1.000230409
2/15/2015,Quarter3,Sunday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.876444444
2/15/2015,Quarter3,Sunday,sweing,12,34,15.26,1120,1440,50,0,0,0,0.8,0.800806306
2/15/2015,Quarter3,Sunday,finishing,5,2,4.15,,240,0,0,0,0,0.75,0.760833333
2/15/2015,Quarter3,Sunday,sweing,5,59.5,30.1,679,7140,0,0,0,0,0.8,0.722568627
2/15/2015,Quarter3,Sunday,finishing,11,10,2.9,,1200,0,0,0,0,0.6,0.715333333
2/15/2015,Quarter3,Sunday,sweing,7,59,30.1,881,7080,0,1,0,0,0.7,0.700632768
2/15/2015,Quarter3,Sunday,sweing,8,59,30.1,507,5880,40,1,2,10,0.7,0.700573099
2/15/2015,Quarter3,Sunday,sweing,6,34,18.79,814,4080,0,0,0,0,0.75,0.681598039
2/15/2015,Quarter3,Sunday,sweing,11,53,11.41,700,2640,23,2,0,0,0.65,0.650223718
2/15/2015,Quarter3,Sunday,finishing,8,8,4.15,,960,0,0,0,0,0.7,0.605208333
2/15/2015,Quarter3,Sunday,finishing,6,8,2.9,,960,0,0,0,0,0.8,0.604166667
2/15/2015,Quarter3,Sunday,sweing,4,59.5,30.1,919,7140,0,1,0,0,0.75,0.598627451
2/15/2015,Quarter3,Sunday,sweing,3,58,30.1,1361,6960,30,1,0,0,0.6,0.475718391
2/15/2015,Quarter3,Sunday,sweing,2,57.5,22.52,12,6900,0,0,0,0,0.8,0.432122899
2/15/2015,Quarter3,Sunday,finishing,4,20,4.15,,2400,0,0,0,0,0.75,0.287041667
2/15/2015,Quarter3,Sunday,sweing,9,54,18.79,1688,5280,0,1,0,0,0.5,0.283054487
2/16/2015,Quarter3,Monday,sweing,1,57,22.52,1422,6840,113,0,0,0,0.8,1.000230409
2/16/2015,Quarter3,Monday,finishing,9,10,3.94,,1200,0,0,0,0,0.8,0.960433333
2/16/2015,Quarter3,Monday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.891555556
2/16/2015,Quarter3,Monday,finishing,3,8,4.15,,960,0,0,0,0,0.5,0.864583333
2/16/2015,Quarter3,Monday,sweing,3,58,30.1,1263,600,63,1,0,0,0.65,0.802243319
2/16/2015,Quarter3,Monday,sweing,5,59,30.1,461,0,0,0,0,0,0.8,0.800980392
2/16/2015,Quarter3,Monday,sweing,12,34,15.26,1079,3720,38,0,0,0,0.8,0.800312375
2/16/2015,Quarter3,Monday,finishing,6,8,2.9,,960,0,0,0,0,0.8,0.773333333
2/16/2015,Quarter3,Monday,sweing,6,33,18.79,895,3960,0,0,0,0,0.75,0.75065101
2/16/2015,Quarter3,Monday,sweing,4,58,30.1,912,7020,0,1,0,0,0.75,0.750356125
2/16/2015,Quarter3,Monday,finishing,4,15,4.15,,1800,0,0,0,0,0.75,0.722333333
2/16/2015,Quarter3,Monday,sweing,7,59,30.1,784,600,30,1,0,0,0.7,0.700459889
2/16/2015,Quarter3,Monday,finishing,5,10,4.15,,1200,0,0,0,0,0.75,0.629416667
2/16/2015,Quarter3,Monday,sweing,8,59,30.1,7,7080,27,2,2,10,0.7,0.621971751
2/16/2015,Quarter3,Monday,sweing,11,54,11.41,680,2160,30,2,0,0,0.7,0.565972222
2/16/2015,Quarter3,Monday,sweing,10,44,18.22,1131,5280,0,1,0,0,0.6,0.35542803
2/16/2015,Quarter3,Monday,sweing,9,54,18.79,2103,5400,0,1,0,0,0.6,0.329964879
2/16/2015,Quarter3,Monday,finishing,7,15,4.15,,1800,0,0,0,0,0.7,0.258
