age,job_type,marital_status,education,has_credit_in_default,housing_loan,personal_loan,communication_type,last_contact_month,last_contact_day_of_week,last_contact_duration_secs,previous_campaign_outcome,previous_campaign_num_contacts,current_campaign_num_contacts,current_campaign_subscribed
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,nonexistent,0,1,no
45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,nonexistent,0,2,no
54,admin.,married,high.school,no,no,no,telephone,may,mon,160,nonexistent,0,1,no
39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,nonexistent,0,1,no
60,admin.,married,high.school,no,no,no,telephone,may,mon,253,nonexistent,0,1,no
53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,nonexistent,0,1,no
55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,nonexistent,0,2,no
55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,nonexistent,0,1,no
50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,nonexistent,0,1,no
45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,nonexistent,0,1,no
55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,nonexistent,0,1,no
25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,nonexistent,0,1,no
47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,nonexistent,0,1,no
51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,nonexistent,0,1,no
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,nonexistent,0,1,no
42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,nonexistent,0,1,no
48,admin.,married,high.school,no,no,no,telephone,may,mon,357,nonexistent,0,1,no
37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,nonexistent,0,1,no
44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,nonexistent,0,1,no
33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,nonexistent,0,1,no
56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,nonexistent,0,2,no
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,nonexistent,0,1,no
41,management,married,basic.6y,no,no,no,telephone,may,mon,200,nonexistent,0,1,no
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,nonexistent,0,1,no
47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,nonexistent,0,1,no
57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,nonexistent,0,1,no
37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,nonexistent,0,1,no
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,nonexistent,0,1,yes
55,technician,married,university.degree,no,no,no,telephone,may,mon,349,nonexistent,0,1,no
33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,nonexistent,0,2,no
55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,nonexistent,0,1,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,nonexistent,0,1,no
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,nonexistent,0,1,no
51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,nonexistent,0,1,no
38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,nonexistent,0,2,no
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,nonexistent,0,1,yes
38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,nonexistent,0,1,no
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,nonexistent,0,1,no
41,management,married,basic.6y,no,no,no,telephone,may,mon,529,nonexistent,0,2,no
39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,nonexistent,0,1,no
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,nonexistent,0,1,yes
34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,nonexistent,0,2,no
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,nonexistent,0,2,no
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,nonexistent,0,1,no
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,nonexistent,0,2,no
33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,nonexistent,0,1,no
42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,nonexistent,0,1,no
45,services,married,professional.course,no,yes,no,telephone,may,mon,221,nonexistent,0,1,no
42,management,married,university.degree,no,no,no,telephone,may,mon,426,nonexistent,0,1,no
53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,nonexistent,0,1,no
37,technician,single,professional.course,no,no,no,telephone,may,mon,197,nonexistent,0,1,no
44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,nonexistent,0,1,no
54,services,married,unknown,no,yes,no,telephone,may,mon,229,nonexistent,0,1,no
49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,nonexistent,0,3,no
54,services,married,unknown,no,no,no,telephone,may,mon,400,nonexistent,0,1,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,nonexistent,0,1,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,nonexistent,0,1,no
43,services,single,high.school,unknown,no,no,telephone,may,mon,21,nonexistent,0,1,no
34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,nonexistent,0,2,no
35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,nonexistent,0,2,no
42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,nonexistent,0,1,no
43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,nonexistent,0,1,no
60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,nonexistent,0,1,no
58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,nonexistent,0,2,no
35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,nonexistent,0,1,no
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,nonexistent,0,2,no
37,management,married,university.degree,no,no,no,telephone,may,mon,337,nonexistent,0,2,no
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,nonexistent,0,1,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,nonexistent,0,2,no
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,nonexistent,0,1,no
56,admin.,married,unknown,no,yes,no,telephone,may,mon,364,nonexistent,0,1,no
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,nonexistent,0,1,no
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,nonexistent,0,1,no
49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,nonexistent,0,1,no
41,services,married,high.school,no,no,no,telephone,may,mon,139,nonexistent,0,1,no
45,technician,married,high.school,no,yes,no,telephone,may,mon,79,nonexistent,0,1,no
32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,nonexistent,0,1,no
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,nonexistent,0,2,no
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,nonexistent,0,1,no
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,nonexistent,0,1,no
56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,nonexistent,0,2,no
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,nonexistent,0,1,yes
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,nonexistent,0,1,no
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,nonexistent,0,1,no
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,nonexistent,0,1,no
37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,nonexistent,0,1,no
52,management,married,university.degree,no,no,no,telephone,may,mon,185,nonexistent,0,1,no
39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,nonexistent,0,1,no
39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69,nonexistent,0,2,no
56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100,nonexistent,0,2,no
34,services,married,high.school,no,yes,no,telephone,may,mon,125,nonexistent,0,2,no
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,nonexistent,0,1,yes
43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,nonexistent,0,1,no
56,management,married,unknown,no,yes,no,telephone,may,mon,70,nonexistent,0,1,no
39,management,married,university.degree,no,yes,no,telephone,may,mon,193,nonexistent,0,1,no
53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,nonexistent,0,1,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,nonexistent,0,1,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528,nonexistent,0,1,no
42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541,nonexistent,0,1,no
35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,nonexistent,0,1,no
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,nonexistent,0,1,no
51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,nonexistent,0,1,no
60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301,nonexistent,0,1,no
56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46,nonexistent,0,1,no
39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52,nonexistent,0,1,no
56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204,nonexistent,0,1,no
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,nonexistent,0,1,no
36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,nonexistent,0,1,no
51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71,nonexistent,0,1,no
51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243,nonexistent,0,1,no
43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,nonexistent,0,2,no
59,services,married,high.school,no,no,no,telephone,may,mon,579,nonexistent,0,2,no
24,management,single,university.degree,no,yes,no,telephone,may,mon,165,nonexistent,0,2,no
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163,nonexistent,0,2,no
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,nonexistent,0,1,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559,nonexistent,0,3,no
39,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033,nonexistent,0,1,no
37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,nonexistent,0,1,no
38,services,married,high.school,no,yes,yes,telephone,may,mon,506,nonexistent,0,1,no
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,nonexistent,0,2,no
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,nonexistent,0,2,no
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,nonexistent,0,2,no
43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181,nonexistent,0,1,no
36,services,married,high.school,unknown,no,no,telephone,may,mon,427,nonexistent,0,1,no
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,nonexistent,0,1,no
42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192,nonexistent,0,1,no
43,services,married,high.school,no,no,no,telephone,may,mon,93,nonexistent,0,3,no
46,management,married,basic.9y,no,no,no,telephone,may,mon,128,nonexistent,0,2,no
44,services,married,high.school,no,yes,yes,telephone,may,mon,107,nonexistent,0,1,no
51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,nonexistent,0,2,no
28,services,married,high.school,no,yes,no,telephone,may,mon,81,nonexistent,0,1,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,nonexistent,0,1,no
34,technician,married,high.school,no,no,no,telephone,may,mon,228,nonexistent,0,1,no
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240,nonexistent,0,1,no
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,nonexistent,0,2,yes
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,nonexistent,0,3,no
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,nonexistent,0,1,no
57,management,married,university.degree,no,no,no,telephone,may,mon,461,nonexistent,0,1,no
51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250,nonexistent,0,1,no
54,retired,married,high.school,unknown,no,no,telephone,may,mon,130,nonexistent,0,1,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,nonexistent,0,1,no
34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,nonexistent,0,1,no
41,technician,married,professional.course,no,no,no,telephone,may,mon,412,nonexistent,0,1,no
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,nonexistent,0,2,no
45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,nonexistent,0,2,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,228,nonexistent,0,2,no
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55,nonexistent,0,1,no
48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,nonexistent,0,1,no
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,nonexistent,0,1,no
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289,nonexistent,0,1,no
40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683,nonexistent,0,2,no
43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,nonexistent,0,1,no
33,services,married,high.school,no,no,no,telephone,may,mon,146,nonexistent,0,2,no
32,services,single,basic.6y,no,no,no,telephone,may,mon,167,nonexistent,0,1,no
39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,nonexistent,0,2,no
43,admin.,married,unknown,no,no,no,telephone,may,mon,277,nonexistent,0,1,no
44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,nonexistent,0,1,no
35,student,single,university.degree,unknown,no,no,telephone,may,mon,218,nonexistent,0,1,no
35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,217,nonexistent,0,1,no
35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,nonexistent,0,1,no
36,services,single,basic.4y,no,no,no,telephone,may,mon,291,nonexistent,0,1,no
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,248,nonexistent,0,1,no
36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,nonexistent,0,1,no
55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,nonexistent,0,1,no
59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,nonexistent,0,1,no
57,retired,married,unknown,unknown,no,no,telephone,may,mon,611,nonexistent,0,2,no
39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471,nonexistent,0,1,no
39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381,nonexistent,0,2,no
30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,nonexistent,0,1,no
30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408,nonexistent,0,1,no
50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287,nonexistent,0,1,no
40,services,married,high.school,no,no,no,telephone,may,mon,322,nonexistent,0,3,no
35,admin.,married,high.school,no,yes,no,telephone,may,mon,216,nonexistent,0,2,no
43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,nonexistent,0,2,no
36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210,nonexistent,0,1,no
46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288,nonexistent,0,1,no
40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,nonexistent,0,1,no
58,retired,married,university.degree,no,no,no,telephone,may,mon,132,nonexistent,0,1,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,64,nonexistent,0,2,no
35,admin.,single,university.degree,no,no,no,telephone,may,mon,209,nonexistent,0,2,no
43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410,nonexistent,0,3,no
45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,nonexistent,0,1,no
39,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,nonexistent,0,2,no
50,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,nonexistent,0,1,no
32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127,nonexistent,0,2,no
39,admin.,married,high.school,unknown,no,no,telephone,may,mon,357,nonexistent,0,1,no
52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175,nonexistent,0,1,no
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,nonexistent,0,1,no
56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,nonexistent,0,1,no
48,admin.,married,high.school,no,no,no,telephone,may,mon,125,nonexistent,0,2,no
33,services,married,high.school,unknown,no,yes,telephone,may,mon,189,nonexistent,0,2,no
43,management,married,university.degree,unknown,no,yes,telephone,may,mon,213,nonexistent,0,3,no
57,retired,married,high.school,no,no,no,telephone,may,mon,238,nonexistent,0,2,no
36,technician,single,professional.course,no,no,no,telephone,may,mon,124,nonexistent,0,1,no
34,management,married,university.degree,no,yes,no,telephone,may,mon,18,nonexistent,0,1,no
34,services,single,basic.9y,no,no,no,telephone,may,mon,730,nonexistent,0,2,no
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,40,nonexistent,0,1,no
33,services,divorced,unknown,no,no,no,telephone,may,mon,181,nonexistent,0,2,no
32,technician,single,professional.course,no,no,no,telephone,may,mon,79,nonexistent,0,1,no
36,technician,single,high.school,no,yes,no,telephone,may,mon,142,nonexistent,0,2,no
36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,nonexistent,0,1,no
33,services,single,high.school,no,no,no,telephone,may,mon,702,nonexistent,0,1,no
40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,nonexistent,0,1,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,211,nonexistent,0,1,no
51,services,married,basic.6y,no,yes,no,telephone,may,mon,117,nonexistent,0,1,no
36,technician,married,professional.course,no,yes,no,telephone,may,mon,232,nonexistent,0,3,no
28,services,married,unknown,no,no,no,telephone,may,mon,408,nonexistent,0,2,no
53,services,married,high.school,no,yes,yes,telephone,may,mon,370,nonexistent,0,3,no
58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,179,nonexistent,0,2,no
45,management,married,basic.9y,no,no,yes,telephone,may,mon,46,nonexistent,0,1,no
43,technician,married,unknown,no,yes,no,telephone,may,mon,200,nonexistent,0,1,no
33,admin.,married,high.school,no,no,yes,telephone,may,mon,50,nonexistent,0,1,no
33,admin.,married,high.school,no,no,yes,telephone,may,mon,181,nonexistent,0,1,no
27,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,119,nonexistent,0,1,no
42,technician,married,high.school,no,no,no,telephone,may,mon,361,nonexistent,0,1,no
43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73,nonexistent,0,3,no
42,admin.,married,university.degree,no,no,no,telephone,may,mon,67,nonexistent,0,2,no
27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,nonexistent,0,1,no
34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,nonexistent,0,2,no
31,student,single,university.degree,unknown,no,no,telephone,may,mon,332,nonexistent,0,2,no
54,management,divorced,university.degree,no,no,no,telephone,may,mon,611,nonexistent,0,2,no
40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,58,nonexistent,0,3,no
52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,151,nonexistent,0,1,no
47,management,divorced,university.degree,no,no,no,telephone,may,mon,89,nonexistent,0,2,no
49,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,152,nonexistent,0,1,no
32,admin.,single,high.school,no,no,no,telephone,may,mon,611,nonexistent,0,2,no
49,housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,110,nonexistent,0,2,no
50,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,463,nonexistent,0,1,no
34,services,married,high.school,no,no,no,telephone,may,mon,962,nonexistent,0,1,no
55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,nonexistent,0,2,no
47,technician,single,basic.9y,no,no,no,telephone,may,mon,10,nonexistent,0,4,no
51,retired,married,professional.course,no,no,no,telephone,may,mon,118,nonexistent,0,3,no
47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,nonexistent,0,2,no
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,143,nonexistent,0,3,no
53,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,nonexistent,0,3,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,nonexistent,0,2,no
42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,nonexistent,0,2,no
44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,nonexistent,0,2,no
39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,nonexistent,0,3,yes
37,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,nonexistent,0,2,no
60,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,5,nonexistent,0,2,no
36,services,married,high.school,no,no,no,telephone,may,mon,225,nonexistent,0,2,no
42,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,nonexistent,0,2,no
31,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,nonexistent,0,2,no
53,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,206,nonexistent,0,2,no
45,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,164,nonexistent,0,2,no
37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,nonexistent,0,2,no
47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,nonexistent,0,2,no
49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,nonexistent,0,2,no
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,nonexistent,0,2,no
35,services,divorced,high.school,no,no,no,telephone,may,mon,122,nonexistent,0,3,no
38,unknown,married,unknown,unknown,no,no,telephone,may,mon,362,nonexistent,0,4,no
38,services,single,high.school,unknown,no,no,telephone,may,mon,357,nonexistent,0,2,no
50,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200,nonexistent,0,2,no
59,retired,married,professional.course,unknown,no,no,telephone,may,mon,107,nonexistent,0,2,no
43,unknown,married,unknown,no,yes,no,telephone,may,mon,267,nonexistent,0,2,no
42,admin.,married,high.school,no,yes,no,telephone,may,mon,248,nonexistent,0,2,no
40,admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,215,nonexistent,0,2,no
46,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,209,nonexistent,0,2,no
57,housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,205,nonexistent,0,2,no
42,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,nonexistent,0,3,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,83,nonexistent,0,2,no
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,106,nonexistent,0,3,no
27,admin.,single,university.degree,no,no,no,telephone,may,mon,106,nonexistent,0,2,no
36,admin.,married,high.school,no,no,no,telephone,may,mon,108,nonexistent,0,2,no
58,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,214,nonexistent,0,2,no
