customer_id,churn,gender,senior_citizen,married,dependents,tenure,phone_service,multiple_lines,internet_service,security,backup,paperless_billing,contract,payment,monthly_charges,total_charges
0141-YEAYS,No,Female,Yes,No,No,27,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),86.45,2401.05
0148-DCDOS,Yes,Male,No,No,No,25,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),94.7,2362.1
0164-XAIRP,No,Female,No,No,No,24,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),19.55,470.2
0177-PXBAT,No,Male,Yes,Yes,No,33,Yes,Yes,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),109.9,3694.7
0186-CAERR,No,Male,No,No,No,71,Yes,Yes,Fiber,Yes,Yes,Yes,Annually,Bank transfer (auto),116.3,8309.55
0191-EQUUH,No,Female,No,No,Yes,25,No,No phone,DSL,Yes,No,No,Biannually,Bank transfer (auto),35.05,844.45
0197-PNKNK,No,Female,No,Yes,Yes,69,Yes,Yes,Fiber,Yes,No,No,Annually,Bank transfer (auto),84.45,5848.6
0201-MIBOL,No,Female,Yes,No,No,66,Yes,Yes,Fiber,Yes,No,Yes,Biannually,Bank transfer (auto),102.4,6471.85
0203-HHYIJ,Yes,Male,No,No,No,25,Yes,Yes,No,No internet,No internet,No,Annually,Bank transfer (auto),25.3,676.35
0208-BPQEJ,No,Female,No,Yes,Yes,12,Yes,No,No,No internet,No internet,No,Monthly,Bank transfer (auto),19.4,198.1
0214-JHPFW,No,Female,No,Yes,No,70,No,No phone,DSL,No,Yes,No,Biannually,Bank transfer (auto),57.8,4039.3
0218-QNVAS,No,Male,No,Yes,Yes,71,Yes,Yes,Fiber,No,Yes,No,Annually,Bank transfer (auto),100.55,7113.75
0219-YTZUE,Yes,Male,No,Yes,Yes,4,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),84.8,371.9
0221-NAUXK,No,Male,No,No,Yes,10,Yes,No,No,No internet,No internet,Yes,Annually,Bank transfer (auto),19.95,219.5
0229-LFJAF,No,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),69.65,4908.25
0230-UBYPQ,No,Male,Yes,Yes,No,63,No,No phone,DSL,Yes,No,No,Annually,Bank transfer (auto),36.1,2298.9
0230-WEQUW,No,Male,No,Yes,No,66,No,No phone,DSL,Yes,Yes,Yes,Biannually,Bank transfer (auto),56.6,3789.2
0233-FTHAV,No,Female,No,No,No,60,Yes,Yes,Fiber,No,No,Yes,Annually,Bank transfer (auto),79.2,4765
0237-YFUTL,No,Female,No,Yes,No,50,Yes,Yes,Fiber,Yes,Yes,Yes,Monthly,Bank transfer (auto),109.65,5405.8
0244-LGNFY,No,Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),92.65,6733
0248-PGHBZ,No,Female,Yes,No,No,67,Yes,No,Fiber,Yes,Yes,Yes,Biannually,Bank transfer (auto),92.45,6140.85
0257-KXZGU,No,Female,No,Yes,Yes,32,Yes,Yes,DSL,No,Yes,No,Monthly,Bank transfer (auto),62.45,2045.55
0257-ZESQC,Yes,Female,Yes,Yes,No,27,Yes,No,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),75.2,1929.35
0264-CNITK,No,Female,No,Yes,Yes,71,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.1,1389.6
0265-PSUAE,No,Female,No,Yes,Yes,16,Yes,No,Fiber,Yes,No,No,Monthly,Bank transfer (auto),100.7,1522.7
0266-CLZKZ,No,Female,No,Yes,Yes,67,Yes,Yes,Fiber,No,No,Yes,Biannually,Bank transfer (auto),105.65,6717.9
0270-THENM,No,Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),69.85,5102.35
0277-ORXQS,No,Male,No,Yes,Yes,66,No,No phone,DSL,No,No,No,Biannually,Bank transfer (auto),50.55,3364.55
0280-XJGEX,Yes,Male,No,No,No,49,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),103.7,5036.3
0281-CNTZX,No,Male,No,Yes,No,63,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),19.95,1234.8
0297-RBCSG,No,Male,No,No,No,19,Yes,No,DSL,No,Yes,Yes,Annually,Bank transfer (auto),65.35,1231.85
0301-FIDRB,No,Female,No,Yes,Yes,72,No,No phone,DSL,Yes,Yes,Yes,Biannually,Bank transfer (auto),63.8,4684.3
0301-KOBTQ,No,Male,No,No,No,32,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),20.05,614.45
0308-GIQJT,No,Male,Yes,No,No,71,Yes,Yes,Fiber,No,Yes,No,Annually,Bank transfer (auto),105.75,7382.85
0310-SUCIN,No,Female,No,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Annually,Bank transfer (auto),84.8,6046.1
0311-UNPFF,Yes,Female,No,No,No,26,Yes,No,Fiber,No,No,Yes,Monthly,Bank transfer (auto),88.8,2274.35
0318-ZOPWS,No,Female,No,Yes,No,49,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),20.15,973.35
0330-BGYZE,No,Male,No,Yes,No,60,Yes,Yes,Fiber,No,Yes,No,Annually,Bank transfer (auto),102.5,6157.6
0336-PIKEI,No,Male,Yes,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),74.4,5360.75
0343-QLUZP,No,Male,No,No,No,60,No,No phone,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),39.6,2424.5
0356-ERHVT,No,Male,No,Yes,No,11,Yes,No,DSL,No,No,Yes,Monthly,Bank transfer (auto),45.9,521.9
0356-OBMAC,No,Female,Yes,No,No,56,Yes,Yes,Fiber,No,Yes,Yes,Biannually,Bank transfer (auto),99.9,5706.3
0363-SVHYR,No,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),86.85,6263.8
0365-TRTPY,No,Female,No,No,No,37,Yes,Yes,Fiber,Yes,Yes,No,Monthly,Bank transfer (auto),91.2,3382.3
0369-ZGOVK,No,Female,No,Yes,Yes,28,Yes,No,Fiber,No,No,Yes,Annually,Bank transfer (auto),70.4,1992.2
0396-UKGAI,No,Male,No,No,Yes,23,Yes,No,DSL,No,Yes,Yes,Monthly,Bank transfer (auto),55.3,1284.2
0397-GZBBC,Yes,Male,Yes,Yes,No,59,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),93.85,5574.75
0397-ZXWQF,No,Male,No,No,No,67,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.5,1430.95
0401-WDBXM,No,Male,No,Yes,Yes,72,Yes,Yes,Fiber,Yes,No,Yes,Biannually,Bank transfer (auto),105.55,7542.25
0402-CQAJN,Yes,Female,No,No,No,37,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),101.9,3545.35
0402-OAMEN,No,Female,No,Yes,Yes,72,Yes,Yes,No,No internet,No internet,No,Biannually,Bank transfer (auto),24.45,1709.1
0410-IPFTY,No,Female,No,Yes,No,31,Yes,No,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),83.85,2674.15
0428-AXXLJ,No,Male,No,No,No,25,Yes,No,No,No internet,No internet,Yes,Annually,Bank transfer (auto),19.5,516.3
0428-IKYCP,No,Male,No,Yes,No,22,Yes,No,Fiber,No,No,Yes,Monthly,Bank transfer (auto),87,1850.65
0431-APWVY,Yes,Female,No,Yes,Yes,28,Yes,No,Fiber,No,No,Yes,Annually,Bank transfer (auto),90.1,2598.95
0442-ZXKVS,No,Female,Yes,Yes,No,54,Yes,Yes,Fiber,Yes,Yes,Yes,Annually,Bank transfer (auto),115.6,6431.05
0447-BEMNG,Yes,Female,No,Yes,No,48,No,No phone,DSL,Yes,No,Yes,Monthly,Bank transfer (auto),45.3,2145
0447-RXSGD,No,Male,No,No,No,24,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),99.65,2404.85
0454-OKRCT,No,Male,No,No,No,33,Yes,No,Fiber,No,Yes,No,Biannually,Bank transfer (auto),80.6,2651.1
0463-ZSDNT,No,Male,No,No,No,10,Yes,No,DSL,No,No,Yes,Monthly,Bank transfer (auto),56.75,503.25
0464-WJTKO,No,Female,No,Yes,Yes,72,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.1,1460.85
0481-SUMCB,No,Female,Yes,No,No,45,Yes,Yes,Fiber,No,No,Yes,Annually,Bank transfer (auto),102.15,4735.35
0484-FFVBJ,No,Male,No,No,No,32,Yes,No,DSL,No,No,Yes,Annually,Bank transfer (auto),64.85,2010.95
0484-JPBRU,No,Male,No,No,No,41,Yes,Yes,No,No internet,No internet,Yes,Monthly,Bank transfer (auto),25.25,996.45
0487-CRLZF,No,Female,No,No,No,49,Yes,No,DSL,No,No,Yes,Biannually,Bank transfer (auto),74.45,3721.9
0487-RPVUM,No,Male,No,Yes,No,61,Yes,Yes,Fiber,Yes,No,No,Monthly,Bank transfer (auto),99.4,5943.65
0495-ZBNGW,Yes,Male,Yes,Yes,No,5,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),79.9,343.95
0496-AHOOK,No,Male,No,Yes,No,24,Yes,No,DSL,Yes,No,No,Annually,Bank transfer (auto),74.4,1712.9
0505-SPOOW,No,Female,No,Yes,No,70,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),19.8,1397.65
0508-SQWPL,No,Female,No,Yes,Yes,57,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),20.1,1087.7
0516-OOHAR,No,Male,No,Yes,Yes,28,Yes,No,Fiber,No,Yes,No,Annually,Bank transfer (auto),100.35,2799
0516-VRYBW,Yes,Female,No,No,Yes,18,Yes,No,No,No internet,No internet,No,Annually,Bank transfer (auto),20.15,390.85
0520-FDVVT,Yes,Male,No,No,No,35,Yes,No,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),102.35,3626.1
0526-SXDJP,No,Male,No,Yes,No,72,No,No phone,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),42.1,2962
0531-XBKMM,No,Male,No,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),65.7,4378.9
0536-ESJEP,No,Male,No,Yes,No,54,Yes,No,DSL,Yes,Yes,Yes,Biannually,Bank transfer (auto),74.55,4191.45
0549-CYCQN,No,Male,Yes,No,No,51,Yes,Yes,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),79.6,3974.7
0556-FJEGU,No,Male,No,No,No,58,Yes,No,DSL,No,Yes,No,Biannually,Bank transfer (auto),70.1,4048.95
0562-KBDVM,No,Female,No,No,No,70,No,No phone,DSL,Yes,Yes,Yes,Biannually,Bank transfer (auto),44.6,3058.15
0564-MUUQK,No,Female,No,Yes,Yes,20,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),95.5,1916.2
0568-ONFPC,Yes,Male,No,Yes,Yes,5,Yes,Yes,No,No internet,No internet,Yes,Monthly,Bank transfer (auto),25.9,135
0580-PIQHM,No,Female,No,Yes,Yes,41,Yes,Yes,Fiber,Yes,Yes,Yes,Annually,Bank transfer (auto),101.6,3930.55
0584-BJQGZ,No,Female,No,No,No,25,Yes,Yes,DSL,Yes,Yes,Yes,Monthly,Bank transfer (auto),78.35,1837.9
0599-XNYDO,No,Female,No,Yes,No,20,Yes,No,Fiber,No,No,Yes,Monthly,Bank transfer (auto),69.8,1540.35
0607-DAAHE,Yes,Male,No,No,Yes,53,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),19.75,1052.35
0618-XWMSS,Yes,Male,No,No,Yes,28,Yes,No,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),74.9,2068.55
0621-HJWXJ,No,Female,No,Yes,No,63,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),81.55,5029.05
0623-GDISB,No,Female,No,No,No,1,Yes,No,DSL,Yes,No,Yes,Monthly,Bank transfer (auto),48.45,48.45
0628-CNQRM,Yes,Male,No,Yes,Yes,22,Yes,No,DSL,Yes,No,Yes,Annually,Bank transfer (auto),67.5,1544.05
0634-SZPQA,Yes,Female,No,No,No,23,Yes,Yes,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),90.05,2169.8
0640-YJTPY,No,Male,No,Yes,Yes,72,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),21,1493.75
0654-PQKDW,No,Female,No,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Annually,Bank transfer (auto),70.75,4263.45
0655-RBDUG,Yes,Male,No,No,No,7,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),98.05,713
0655-YDGFJ,No,Male,No,No,No,29,Yes,No,DSL,No,No,No,Monthly,Bank transfer (auto),48.95,1323.7
0657-DOGUM,No,Female,No,Yes,No,48,Yes,Yes,DSL,Yes,No,Yes,Annually,Bank transfer (auto),60.6,2985.25
0674-GCDXG,No,Male,No,No,No,63,Yes,Yes,DSL,Yes,No,Yes,Biannually,Bank transfer (auto),71.9,4479.2
0689-DSXGL,No,Female,No,Yes,Yes,52,Yes,No,Fiber,No,Yes,No,Monthly,Bank transfer (auto),85.8,4433.3
0691-JVSYA,Yes,Female,No,Yes,No,53,Yes,No,Fiber,No,No,Yes,Annually,Bank transfer (auto),94.85,5000.2
0699-NDKJM,No,Female,No,Yes,No,57,No,No phone,DSL,Yes,Yes,Yes,Monthly,Bank transfer (auto),58.75,3437.45
0701-RFGFI,No,Female,No,Yes,Yes,49,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),95.4,4613.95
0701-TJSEF,No,Male,No,No,No,9,Yes,No,DSL,Yes,No,Yes,Monthly,Bank transfer (auto),68.25,576.95
0707-HOVVN,No,Female,Yes,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Biannually,Bank transfer (auto),75.5,5212.65
0723-FDLAY,No,Male,No,No,No,44,Yes,Yes,DSL,No,Yes,Yes,Annually,Bank transfer (auto),85.25,3704.15
0732-OCQOC,No,Female,No,Yes,Yes,52,Yes,Yes,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),25.05,1270.25
0733-VUNUW,Yes,Male,No,No,No,24,Yes,Yes,DSL,Yes,No,Yes,Monthly,Bank transfer (auto),55.65,1400.55
0744-BIKKF,No,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),86.65,6224.8
0744-GKNGE,No,Female,No,Yes,Yes,64,Yes,Yes,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),86.8,5327.25
0748-RDGGM,Yes,Male,No,Yes,No,70,Yes,No,Fiber,Yes,Yes,Yes,Annually,Bank transfer (auto),109.5,7534.65
0769-MURVM,No,Female,No,Yes,Yes,72,No,No phone,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),65.7,4575.35
0774-IFUVM,No,Male,No,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,Monthly,Bank transfer (auto),65.15,723.35
0774-RMNUW,No,Female,No,Yes,Yes,71,No,No phone,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),59.7,4122.65
0780-XNZFN,No,Male,No,No,No,57,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.65,1125.6
0786-IVLAW,No,Female,Yes,No,No,66,Yes,Yes,Fiber,No,Yes,No,Annually,Bank transfer (auto),108.1,7238.6
0794-YVSGE,No,Male,No,Yes,Yes,72,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.3,1401.15
0795-XCCTE,No,Male,Yes,No,No,72,Yes,Yes,No,No internet,No internet,No,Biannually,Bank transfer (auto),25.4,1809.35
0804-YGEQV,No,Female,No,Yes,Yes,43,Yes,Yes,No,No internet,No internet,Yes,Annually,Bank transfer (auto),24.45,993.15
0813-TAXXS,No,Male,No,No,No,55,Yes,Yes,DSL,No,No,Yes,Biannually,Bank transfer (auto),77.8,4323.35
0824-VWDPO,No,Female,No,No,No,45,Yes,Yes,Fiber,Yes,Yes,No,Annually,Bank transfer (auto),96.75,4442.75
0829-XXPLX,No,Female,No,No,No,20,Yes,No,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),89.4,1871.15
0835-DUUIQ,No,Female,No,No,Yes,24,Yes,No,No,No internet,No internet,No,Annually,Bank transfer (auto),21.05,531.55
0840-DCNZE,No,Male,No,No,No,47,Yes,No,DSL,Yes,Yes,Yes,Annually,Bank transfer (auto),86.95,4138.9
0842-IWYCP,No,Female,No,No,No,46,Yes,No,DSL,No,No,No,Monthly,Bank transfer (auto),44.95,2168.9
0843-WTBXE,Yes,Male,No,No,No,53,Yes,Yes,Fiber,No,No,No,Monthly,Bank transfer (auto),85.45,4517.25
0847-HGRML,No,Male,No,No,Yes,62,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20,1250.1
0848-SOMKO,No,Male,No,No,No,70,No,No phone,DSL,Yes,No,No,Biannually,Bank transfer (auto),48.4,3442.8
0848-ZGQIJ,No,Female,No,Yes,No,16,Yes,No,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),94.65,1461.15
0853-TWRVK,No,Male,No,Yes,No,72,Yes,Yes,Fiber,Yes,Yes,No,Biannually,Bank transfer (auto),105.6,7581.5
0859-YGKFW,No,Male,No,Yes,Yes,18,Yes,No,No,No internet,No internet,No,Annually,Bank transfer (auto),20.05,345.9
0867-LDTTC,No,Male,No,No,No,5,Yes,No,DSL,No,No,No,Monthly,Bank transfer (auto),75.15,392.65
0872-JCPIB,No,Male,No,No,No,17,Yes,Yes,DSL,Yes,No,No,Monthly,Bank transfer (auto),65.75,1111.2
0877-SDMBN,Yes,Female,No,No,No,54,Yes,Yes,Fiber,Yes,No,Yes,Annually,Bank transfer (auto),103.95,5639.05
0885-HMGPY,No,Male,No,No,No,62,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),69.4,4237.5
0895-LMRSF,No,Male,No,No,No,23,Yes,No,DSL,No,No,Yes,Annually,Bank transfer (auto),64.9,1509.8
0898-XCGTF,No,Male,No,Yes,No,61,Yes,Yes,Fiber,No,No,Yes,Annually,Bank transfer (auto),96.5,5673.7
0902-XKXPN,No,Male,No,Yes,Yes,69,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.2,1376.5
0906-QVPMS,No,Male,No,Yes,No,72,Yes,Yes,Fiber,Yes,Yes,No,Biannually,Bank transfer (auto),115.15,8349.45
0909-SELIE,No,Male,No,Yes,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Biannually,Bank transfer (auto),80.8,4860.85
0913-XWSCN,No,Male,No,Yes,Yes,55,Yes,Yes,Fiber,No,No,No,Monthly,Bank transfer (auto),85.5,4713.4
0917-EZOLA,Yes,Male,Yes,Yes,No,72,Yes,Yes,Fiber,No,Yes,Yes,Biannually,Bank transfer (auto),104.15,7689.95
0929-PECLO,No,Female,Yes,No,No,63,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),89.6,5538.8
0940-OUQEC,Yes,Male,No,No,No,10,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),80.7,788.8
0942-KOWSM,No,Female,No,Yes,Yes,30,Yes,No,DSL,No,Yes,No,Biannually,Bank transfer (auto),80.8,2369.3
0943-ZQPXH,No,Male,No,Yes,Yes,44,Yes,No,Fiber,No,No,Yes,Monthly,Bank transfer (auto),92.95,4122.9
0960-HUWBM,No,Male,No,Yes,Yes,65,Yes,Yes,Fiber,No,No,Yes,Biannually,Bank transfer (auto),104.1,6700.05
0962-CQPWQ,No,Female,No,Yes,Yes,62,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.3,1296.15
0971-QIFJK,No,Female,No,Yes,No,69,Yes,Yes,No,No internet,No internet,No,Biannually,Bank transfer (auto),24.25,1641.8
0979-MOZQI,No,Male,No,Yes,No,62,No,No phone,DSL,No,No,Yes,Biannually,Bank transfer (auto),39,2337.45
0988-AADSA,No,Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),80.85,5824.75
0993-OSGPT,No,Female,Yes,Yes,No,68,Yes,No,DSL,No,Yes,Yes,Annually,Bank transfer (auto),60.65,3975.9
1009-IRMNA,Yes,Female,No,No,No,7,Yes,No,No,No internet,No internet,No,Monthly,Bank transfer (auto),20,137.6
1010-DIAUQ,Yes,Male,No,No,No,5,Yes,No,Fiber,No,No,No,Monthly,Bank transfer (auto),96.5,492.55
1023-BQXZE,No,Male,No,No,No,57,Yes,No,DSL,Yes,No,Yes,Biannually,Bank transfer (auto),74.35,4317.35
1027-LKKQQ,No,Female,No,Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,Biannually,Bank transfer (auto),80.45,5886.85
1038-ZAGBI,Yes,Female,No,Yes,Yes,12,Yes,No,No,No internet,No internet,No,Annually,Bank transfer (auto),19.8,229.6
1041-RXHRA,Yes,Female,No,No,No,41,Yes,No,Fiber,No,No,No,Monthly,Bank transfer (auto),70.25,2868.05
1053-MXTTK,No,Female,No,Yes,Yes,72,Yes,No,Fiber,Yes,Yes,Yes,Biannually,Bank transfer (auto),108.65,7726.35
1073-XXCZD,No,Male,No,Yes,No,55,Yes,Yes,No,No internet,No internet,No,Biannually,Bank transfer (auto),25.7,1443.65
1074-AMIOH,No,Female,No,Yes,Yes,53,Yes,No,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),108.25,5935.1
1084-UQCHV,Yes,Male,No,No,Yes,1,Yes,No,Fiber,No,No,No,Monthly,Bank transfer (auto),69.75,69.75
1087-GRUYI,No,Male,No,Yes,No,38,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.4,743.5
1090-ESELR,No,Male,No,Yes,Yes,72,Yes,No,Fiber,Yes,Yes,No,Biannually,Bank transfer (auto),105.5,7611.55
1094-BKOSX,No,Female,No,Yes,Yes,45,No,No phone,DSL,No,Yes,No,Annually,Bank transfer (auto),51,2264.5
1095-WGNGG,No,Female,No,Yes,No,61,Yes,Yes,Fiber,No,Yes,Yes,Biannually,Bank transfer (auto),101.05,5971.25
1096-ADRUX,No,Female,No,Yes,Yes,66,Yes,Yes,Fiber,No,No,Yes,Annually,Bank transfer (auto),74.25,4859.25
1098-TDVUQ,No,Female,No,No,No,1,Yes,No,No,No internet,No internet,Yes,Monthly,Bank transfer (auto),19.25,19.25
1131-ALZWV,No,Female,No,No,No,24,Yes,Yes,No,No internet,No internet,No,Annually,Bank transfer (auto),24.6,605.25
1131-QQZEB,No,Male,Yes,Yes,No,71,Yes,Yes,No,No internet,No internet,No,Biannually,Bank transfer (auto),23.95,1756.2
1131-SUEKT,No,Male,No,Yes,Yes,61,Yes,No,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),98.45,6145.2
1137-DGOWI,No,Female,No,Yes,No,30,Yes,No,DSL,No,Yes,No,Annually,Bank transfer (auto),70.25,2198.9
1142-WACZW,Yes,Male,No,No,No,2,No,No phone,DSL,No,No,No,Monthly,Bank transfer (auto),29.85,75.6
1150-FTQGN,No,Female,No,Yes,Yes,60,Yes,Yes,Fiber,Yes,Yes,No,Annually,Bank transfer (auto),94.15,5811.8
1162-ECVII,No,Male,Yes,Yes,No,72,Yes,Yes,Fiber,No,Yes,Yes,Biannually,Bank transfer (auto),109.75,7932.5
1166-PQLGG,No,Female,No,Yes,Yes,72,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),19.55,1463.45
1167-OYZJF,No,Female,Yes,Yes,No,67,Yes,No,No,No internet,No internet,Yes,Biannually,Bank transfer (auto),20.05,1263.05
1169-SAOCL,No,Male,No,No,No,49,Yes,Yes,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),106.65,5168.1
1170-SASML,No,Female,No,Yes,No,69,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),85.4,5869.4
1172-VIYBP,No,Male,No,Yes,Yes,53,Yes,Yes,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),69.7,3686.05
1173-NOEYG,No,Female,No,Yes,No,27,Yes,Yes,Fiber,No,No,No,Monthly,Bank transfer (auto),90.15,2423.4
1177-XZBJL,No,Male,No,Yes,Yes,53,Yes,Yes,DSL,Yes,Yes,No,Annually,Bank transfer (auto),64.15,3491.55
